dbid,name,type,uniprot_name,cid,uniprot,poi,ligase,smiles,dc50,dmax,molecular_weight,exact_mass,heavy_atom_count,ring_count,hbond_donor_count,hbond_acceptor_count,molecular_formula,inchi,inchikey
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5657,P00533,EGFR T790M,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCOCCNC(=O)C4=NC5=CC=CC=C5[NH]C4=O)=C3C2=O)C(=O)N1,,,634.602,634.20234116,46,5,4,11,C30H30N6O10,"InChI=1S/C30H30N6O10/c37-22-9-8-21(26(39)35-22)36-29(42)17-4-3-7-20(24(17)30(36)43)32-23(38)16-46-15-14-45-13-12-44-11-10-31-27(40)25-28(41)34-19-6-2-1-5-18(19)33-25/h1-7,21H,8-16H2,(H,31,40)(H,32,38)(H,34,41)(H,35,37,39)",OZPRDNWEPCURPP-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5658,P00533,EGFR,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCNNC(=O)C4=CC=C(/N=C5\C(=O)NC6=CC=CC=C56)C=C4)=C3C2=O)C(=O)N1,,,681.662,681.218325572,50,6,5,11,C34H31N7O9,"InChI=1S/C34H31N7O9/c42-26-13-12-25(31(45)39-26)41-33(47)22-5-3-7-24(28(22)34(41)48)37-27(43)18-50-17-16-49-15-14-35-40-30(44)19-8-10-20(11-9-19)36-29-21-4-1-2-6-23(21)38-32(29)46/h1-11,25,35H,12-18H2,(H,37,43)(H,40,44)(H,36,38,46)(H,39,42,45)",UUISUTLLNFRLKV-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5658,P00533,EGFR T790M,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)COCCOCCNNC(=O)C4=CC=C(/N=C5\C(=O)NC6=CC=CC=C56)C=C4)=C3C2=O)C(=O)N1,,,681.662,681.218325572,50,6,5,11,C34H31N7O9,"InChI=1S/C34H31N7O9/c42-26-13-12-25(31(45)39-26)41-33(47)22-5-3-7-24(28(22)34(41)48)37-27(43)18-50-17-16-49-15-14-35-40-30(44)19-8-10-20(11-9-19)36-29-21-4-1-2-6-23(21)38-32(29)46/h1-11,25,35H,12-18H2,(H,37,43)(H,40,44)(H,36,38,46)(H,39,42,45)",UUISUTLLNFRLKV-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5659,P00533,EGFR,CRBN,CN1C(=O)/C(=N\C2=CC=C(C(=O)NNCCOCCOCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)C2=CC=CC=C21,,,695.689,695.233975636,51,6,4,11,C35H33N7O9,"InChI=1S/C35H33N7O9/c1-41-25-8-3-2-5-22(25)30(35(41)49)37-21-11-9-20(10-12-21)31(45)40-36-15-16-50-17-18-51-19-28(44)38-24-7-4-6-23-29(24)34(48)42(33(23)47)26-13-14-27(43)39-32(26)46/h2-12,26,36H,13-19H2,1H3,(H,38,44)(H,40,45)(H,39,43,46)/b37-30-",KLLIEGYJHUITHF-ONQIKCEGSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5659,P00533,EGFR T790M,CRBN,CN1C(=O)/C(=N\C2=CC=C(C(=O)NNCCOCCOCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)C2=CC=CC=C21,,,695.689,695.233975636,51,6,4,11,C35H33N7O9,"InChI=1S/C35H33N7O9/c1-41-25-8-3-2-5-22(25)30(35(41)49)37-21-11-9-20(10-12-21)31(45)40-36-15-16-50-17-18-51-19-28(44)38-24-7-4-6-23-29(24)34(48)42(33(23)47)26-13-14-27(43)39-32(26)46/h2-12,26,36H,13-19H2,1H3,(H,38,44)(H,40,45)(H,39,43,46)/b37-30-",KLLIEGYJHUITHF-ONQIKCEGSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5660,P00533,EGFR,CRBN,O=C(CSC1=NC2=CC=CC=C2O1)NNCCOCCOCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,624.632,624.163847476,44,5,4,12,C28H28N6O9S,"InChI=1S/C28H28N6O9S/c35-21-9-8-19(25(38)32-21)34-26(39)16-4-3-6-18(24(16)27(34)40)30-22(36)14-42-13-12-41-11-10-29-33-23(37)15-44-28-31-17-5-1-2-7-20(17)43-28/h1-7,19,29H,8-15H2,(H,30,36)(H,33,37)(H,32,35,38)",CWWRWDWAERVKAB-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5660,P00533,EGFR T790M,CRBN,O=C(CSC1=NC2=CC=CC=C2O1)NNCCOCCOCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,624.632,624.163847476,44,5,4,12,C28H28N6O9S,"InChI=1S/C28H28N6O9S/c35-21-9-8-19(25(38)32-21)34-26(39)16-4-3-6-18(24(16)27(34)40)30-22(36)14-42-13-12-41-11-10-29-33-23(37)15-44-28-31-17-5-1-2-7-20(17)43-28/h1-7,19,29H,8-15H2,(H,30,36)(H,33,37)(H,32,35,38)",CWWRWDWAERVKAB-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5661,P00533,EGFR,CRBN,O=C(CSC1=NC2=CC=CC=C2S1)NNCCOCCOCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,640.7,640.141003856,44,5,4,12,C28H28N6O8S2,"InChI=1S/C28H28N6O8S2/c35-21-9-8-19(25(38)32-21)34-26(39)16-4-3-6-18(24(16)27(34)40)30-22(36)14-42-13-12-41-11-10-29-33-23(37)15-43-28-31-17-5-1-2-7-20(17)44-28/h1-7,19,29H,8-15H2,(H,30,36)(H,33,37)(H,32,35,38)",ZYHGWXRBVVVZAU-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,5661,P00533,EGFR T790M,CRBN,O=C(CSC1=NC2=CC=CC=C2S1)NNCCOCCOCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,640.7,640.141003856,44,5,4,12,C28H28N6O8S2,"InChI=1S/C28H28N6O8S2/c35-21-9-8-19(25(38)32-21)34-26(39)16-4-3-6-18(24(16)27(34)40)30-22(36)14-42-13-12-41-11-10-29-33-23(37)15-43-28-31-17-5-1-2-7-20(17)44-28/h1-7,19,29H,8-15H2,(H,30,36)(H,33,37)(H,32,35,38)",ZYHGWXRBVVVZAU-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,1220,P00533,EGFR,CRBN,C=CC(=O)NC1=CC(NC2=NC=CC(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CCN(C)CCOCCOCCOCCOCC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,161,68,961.09,960.44938812,70,7,4,16,C50H60N10O10,"InChI=1S/C50H60N10O10/c1-6-45(61)53-39-28-40(55-50-51-17-16-38(54-50)35-30-59(4)41-13-8-7-10-33(35)41)44(66-5)29-43(39)58(3)19-18-57(2)20-21-67-22-23-68-24-25-69-26-27-70-32-47(63)52-37-12-9-11-34-36(37)31-60(49(34)65)42-14-15-46(62)56-48(42)64/h6-13,16-17,28-30,42H,1,14-15,18-27,31-32H2,2-5H3,(H,52,63)(H,53,61)(H,51,54,55)(H,56,62,64)",MVXHKLZUALKPTB-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,278,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1074.673,1073.39240343,76,8,4,14,C57H61ClFN7O9S,"InChI=1S/C57H61ClFN7O9S/c1-36-52(76-35-63-36)40-10-8-37(9-11-40)30-60-55(69)49-29-44(67)31-66(49)56(70)53(57(2,3)4)65-51(68)33-73-23-22-71-20-21-72-24-25-74-45-16-12-39(13-17-45)41-14-18-48-46(27-41)54(62-34-61-48)64-43-15-19-50(47(58)28-43)75-32-38-6-5-7-42(59)26-38/h5-19,26-28,34-35,44,49,53,67H,20-25,29-33H2,1-4H3,(H,60,69)(H,65,68)(H,61,62,64)/t44-,49+,53-/m1/s1",XZNORRXEBCTXPB-KHBXAZQSSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,278,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1074.673,1073.39240343,76,8,4,14,C57H61ClFN7O9S,"InChI=1S/C57H61ClFN7O9S/c1-36-52(76-35-63-36)40-10-8-37(9-11-40)30-60-55(69)49-29-44(67)31-66(49)56(70)53(57(2,3)4)65-51(68)33-73-23-22-71-20-21-72-24-25-74-45-16-12-39(13-17-45)41-14-18-48-46(27-41)54(62-34-61-48)64-43-15-19-50(47(58)28-43)75-32-38-6-5-7-42(59)26-38/h5-19,26-28,34-35,44,49,53,67H,20-25,29-33H2,1-4H3,(H,60,69)(H,65,68)(H,61,62,64)/t44-,49+,53-/m1/s1",XZNORRXEBCTXPB-KHBXAZQSSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,278,P00533,EGFR L858R,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1074.673,1073.39240343,76,8,4,14,C57H61ClFN7O9S,"InChI=1S/C57H61ClFN7O9S/c1-36-52(76-35-63-36)40-10-8-37(9-11-40)30-60-55(69)49-29-44(67)31-66(49)56(70)53(57(2,3)4)65-51(68)33-73-23-22-71-20-21-72-24-25-74-45-16-12-39(13-17-45)41-14-18-48-46(27-41)54(62-34-61-48)64-43-15-19-50(47(58)28-43)75-32-38-6-5-7-42(59)26-38/h5-19,26-28,34-35,44,49,53,67H,20-25,29-33H2,1-4H3,(H,60,69)(H,65,68)(H,61,62,64)/t44-,49+,53-/m1/s1",XZNORRXEBCTXPB-KHBXAZQSSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,278,P00533,EGFR e19d,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,1074.673,1073.39240343,76,8,4,14,C57H61ClFN7O9S,"InChI=1S/C57H61ClFN7O9S/c1-36-52(76-35-63-36)40-10-8-37(9-11-40)30-60-55(69)49-29-44(67)31-66(49)56(70)53(57(2,3)4)65-51(68)33-73-23-22-71-20-21-72-24-25-74-45-16-12-39(13-17-45)41-14-18-48-46(27-41)54(62-34-61-48)64-43-15-19-50(47(58)28-43)75-32-38-6-5-7-42(59)26-38/h5-19,26-28,34-35,44,49,53,67H,20-25,29-33H2,1-4H3,(H,60,69)(H,65,68)(H,61,62,64)/t44-,49+,53-/m1/s1",XZNORRXEBCTXPB-KHBXAZQSSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,570,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NCCOCCOCCN3CCN(C4=CC=C(NC5=CC6=C(N7CCC(CO)CC7)N=C(NC7=CC=C(F)C=C7)N=C6C=N5)N=C4)CC3)C(C)(C)C)C=C2)SC=N1,,,1074.342,1073.54332624,77,9,6,18,C56H72FN13O6S,"InChI=1S/C56H72FN13O6S/c1-37-50(77-36-62-37)40-7-5-38(6-8-40)31-61-53(73)47-29-44(72)34-70(47)54(74)51(56(2,3)4)58-17-25-75-27-28-76-26-24-67-20-22-68(23-21-67)43-13-14-48(59-32-43)65-49-30-45-46(33-60-49)64-55(63-42-11-9-41(57)10-12-42)66-52(45)69-18-15-39(35-71)16-19-69/h5-14,30,32-33,36,39,44,47,51,58,71-72H,15-29,31,34-35H2,1-4H3,(H,61,73)(H,59,60,65)(H,63,64,66)/t44-,47+,51-/m1/s1",CQUCWGCCDVGZNK-SRLHMHSXSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,1549,P00533,EGFR L858R/T790M,CRBN,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCN4CCN(C5=CC=C(C6=CC=C7CN(C(C(=O)NC8=NC=CS8)C8=CC=CC=C8)C(=O)C7=C6)C=C5)CC4)=C3C2=O)C(=O)N1,,,897.027,896.331581496,65,9,3,13,C48H48N8O8S,"InChI=1S/C48H48N8O8S/c57-40-16-15-39(43(58)51-40)56-46(61)36-7-4-8-38(41(36)47(56)62)49-17-24-63-26-27-64-25-23-53-19-21-54(22-20-53)35-13-11-31(12-14-35)33-9-10-34-30-55(45(60)37(34)29-33)42(32-5-2-1-3-6-32)44(59)52-48-50-18-28-65-48/h1-14,18,28-29,39,42,49H,15-17,19-27,30H2,(H,50,52,59)(H,51,57,58)",LCRBAPSWBSEBAG-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,1551,P00533,EGFR L858R/T790M,CRBN,O=C1CCC(N2C(=O)C3=CC=C(NCCOCCOCCN4CCN(C5=CC=C(C6=CC=C7CN(C(C(=O)NC8=NC=CS8)C8=CC=CC=C8)C(=O)C7=C6)C=N5)CC4)C=C3C2=O)C(=O)N1,,,898.015,897.326830464,65,9,3,14,C47H47N9O8S,"InChI=1S/C47H47N9O8S/c57-40-13-11-38(42(58)51-40)56-45(61)35-10-9-34(27-37(35)46(56)62)48-14-21-63-23-24-64-22-20-53-16-18-54(19-17-53)39-12-8-32(28-50-39)31-6-7-33-29-55(44(60)36(33)26-31)41(30-4-2-1-3-5-30)43(59)52-47-49-15-25-65-47/h1-10,12,15,25-28,38,41,48H,11,13-14,16-24,29H2,(H,49,52,59)(H,51,57,58)",QHQDVRLNEVZTFS-UHFFFAOYSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,1554,P00533,EGFR L858R/T790M,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCN3CCN(C4=CC=C(C5=CC=C6CN(C(C(=O)NC7=NC=CS7)C7=CC=CC=C7)C(=O)C6=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,,,1083.351,1082.45065107,77,9,4,15,C57H66N10O8S2,"InChI=1S/C57H66N10O8S2/c1-37-50(77-36-61-37)40-12-10-38(11-13-40)32-60-52(70)46-31-44(68)35-66(46)55(73)51(57(2,3)4)62-48(69)18-25-74-27-28-75-26-24-64-20-22-65(23-21-64)47-17-16-42(33-59-47)41-14-15-43-34-67(54(72)45(43)30-41)49(39-8-6-5-7-9-39)53(71)63-56-58-19-29-76-56/h5-17,19,29-30,33,36,44,46,49,51,68H,18,20-28,31-32,34-35H2,1-4H3,(H,60,70)(H,62,69)(H,58,63,71)/t44-,46+,49?,51-/m1/s1",BJESFCSPXPZXNP-ZSIHQRNSSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,2000,P00533,EGFR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NCCOCCOCCN3CCN(C4=CC=C(NC5=NC=C6N=C(NC7=CC=CC=C7)N(C7CCCC7)C6=N5)C=C4)CC3)C(C)(C)C)C=C2)SC=N1,,,999.3,998.53128434,72,9,5,16,C54H70N12O5S,"InChI=1S/C54H70N12O5S/c1-37-47(72-36-58-37)39-16-14-38(15-17-39)33-56-50(68)46-32-44(67)35-65(46)51(69)48(54(2,3)4)55-22-28-70-30-31-71-29-27-63-23-25-64(26-24-63)42-20-18-41(19-21-42)59-52-57-34-45-49(62-52)66(43-12-8-9-13-43)53(61-45)60-40-10-6-5-7-11-40/h5-7,10-11,14-21,34,36,43-44,46,48,55,67H,8-9,12-13,22-33,35H2,1-4H3,(H,56,68)(H,60,61)(H,57,59,62)/t44-,46+,48-/m1/s1",VKKCYHNIIBYIGZ-IVTDSOLVSA-N
DB00002,Cetuximab,BiotechDrug,Epidermal growth factor receptor,2000,P00533,EGFR L858R/T790M,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NCCOCCOCCN3CCN(C4=CC=C(NC5=NC=C6N=C(NC7=CC=CC=C7)N(C7CCCC7)C6=N5)C=C4)CC3)C(C)(C)C)C=C2)SC=N1,,,999.3,998.53128434,72,9,5,16,C54H70N12O5S,"InChI=1S/C54H70N12O5S/c1-37-47(72-36-58-37)39-16-14-38(15-17-39)33-56-50(68)46-32-44(67)35-65(46)51(69)48(54(2,3)4)55-22-28-70-30-31-71-29-27-63-23-25-64(26-24-63)42-20-18-41(19-21-42)59-52-57-34-45-49(62-52)66(43-12-8-9-13-43)53(61-45)60-40-10-6-5-7-11-40/h5-7,10-11,14-21,34,36,43-44,46,48,55,67H,8-9,12-13,22-33,35H2,1-4H3,(H,56,68)(H,60,61)(H,57,59,62)/t44-,46+,48-/m1/s1",VKKCYHNIIBYIGZ-IVTDSOLVSA-N
